Exported from Sap Flow Tool (1.5.0) on 19/05/2019 at 21:01
date time,DOY,HRM Sap Flow Meter (SFM1) (SFM1G40O),HRM Sap Flow Meter (SFM1) (SFM1G40O),HRM Sap Flow Meter (SFM1) (SFM1G40O),HRM Sap Flow Meter (SFM1) (SFM1G40O),
dd/MM/yyyy hh:mm:ss.zzz,DOY,0_OuterDownstream(DegC),1_OuterUpstream(DegC),2_InnerDownstream(DegC),3_InnerUpstream(DegC),
30/10/2017 20:01:21.000,303,18.63459969,18.88824844,19.06987381,18.76013184,
30/10/2017 20:01:22.000,303,18.64141846,18.8902359,19.06116295,18.7480278,
30/10/2017 20:01:23.000,303,18.645401,18.89047623,19.05031967,18.73563957,
30/10/2017 20:01:24.000,303,18.64896965,18.88998032,19.03907967,18.72482109,
30/10/2017 20:01:25.000,303,18.65164948,18.88866043,19.02889824,18.7118187,
30/10/2017 20:01:26.000,303,18.65266991,18.88640785,19.0168457,18.69903946,
30/10/2017 20:01:27.000,303,18.65316582,18.88285065,19.00447464,18.68749619,
30/10/2017 20:01:28.000,303,18.65277672,18.87931061,18.99383736,18.67427444,
30/10/2017 20:01:29.000,303,18.65207672,18.87505531,18.9812355,18.66069031,
30/10/2017 20:01:30.000,303,18.65068817,18.87043571,18.9683876,18.64933205,
30/10/2017 20:01:31.000,303,18.64806175,18.86429596,18.95728111,18.63649559,
30/10/2017 20:01:32.000,303,18.64546013,18.85817528,18.94441223,18.62343979,
30/10/2017 20:01:33.000,303,18.64197922,18.85178947,18.93118668,18.61288261,
30/10/2017 20:01:34.000,303,18.63783073,18.84451103,18.91987228,18.60017967,
30/10/2017 20:01:35.000,303,18.63401222,18.83573341,18.90713692,18.58716011,
30/10/2017 20:01:36.000,303,18.62900352,18.82728577,18.89437866,18.57679176,
30/10/2017 20:01:37.000,303,18.62426758,18.81974602,18.8835125,18.56483459,
30/10/2017 20:01:38.000,303,18.62013435,18.81065178,18.87086296,18.55268669,
30/10/2017 20:01:39.000,303,18.61523819,18.80145073,18.85827637,18.54222107,
30/10/2017 20:01:40.000,303,18.61058617,18.79399109,18.84589958,18.53038406,
30/10/2017 20:01:41.000,303,18.6058712,18.78455544,18.83530617,18.51869965,
30/10/2017 20:01:42.000,303,18.5995388,18.77548981,18.82312584,18.50677109,
30/10/2017 20:01:43.000,303,18.59209061,18.76750183,18.81064034,18.49682426,
30/10/2017 20:01:44.000,303,18.58524323,18.7579155,18.80003166,18.48539352,
30/10/2017 20:01:45.000,303,18.57800865,18.74883842,18.78781319,18.47430038,
30/10/2017 20:01:46.000,303,18.570858,18.74064827,18.77573013,18.46515274,
30/10/2017 20:01:47.000,303,18.56358147,18.73121262,18.76522064,18.4545269,
30/10/2017 20:01:48.000,303,18.55753136,18.72141266,18.75309372,18.44378662,
30/10/2017 20:01:49.000,303,18.55003357,18.71103859,18.74165726,18.43482208,
30/10/2017 20:01:50.000,303,18.5430069,18.70259666,18.73192215,18.42442513,
30/10/2017 20:01:51.000,303,18.53725624,18.69198036,18.72022247,18.41441345,
30/10/2017 20:01:52.000,303,18.5307579,18.68292427,18.70870399,18.40579033,
30/10/2017 20:01:53.000,303,18.52399063,18.67291832,18.69922066,18.3955822,
30/10/2017 20:01:54.000,303,18.51775932,18.66230774,18.68753242,18.38566208,
30/10/2017 20:01:55.000,303,18.51045609,18.65184212,18.67657471,18.3776722,
30/10/2017 20:01:56.000,303,18.5022049,18.64312172,18.66716766,18.36840439,
30/10/2017 20:01:57.000,303,18.49546432,18.63287544,18.65629005,18.35914993,
30/10/2017 20:01:58.000,303,18.48769188,18.62253189,18.64584541,18.35128784,
30/10/2017 20:01:59.000,303,18.47934723,18.61408424,18.63581657,18.34240723,
30/10/2017 20:02:00.000,303,18.47207832,18.60456276,18.62684059,18.33356857,
30/10/2017 20:02:01.000,303,18.46373367,18.59466934,18.61641312,18.32477379,
30/10/2017 20:02:02.000,303,18.45599365,18.58606148,18.60669327,18.31740379,
30/10/2017 20:02:03.000,303,18.44782066,18.57627296,18.59810829,18.30896378,
